3_5_3_0_0	20
3_5_4_0_0	23
3_5_5_0_0	28
3_5_6_0_0	32
3_5_7_0_0	38
3_5_8_0_0	43
3_5_9_0_0	50
3_6_2_0_0	18
3_6_3_0_0	21
3_6_4_0_0	25
3_6_5_0_0	29
3_6_6_0_0	34
3_6_7_0_0	39
3_6_8_0_0	45
3_6_9_0_0	51
3_7_2_0_0	19
3_7_3_0_0	23
3_7_4_0_0	26
3_7_5_0_0	31
3_7_6_0_0	35
3_7_7_0_0	41
3_7_8_0_0	46
3_7_9_0_0	53
3_8_2_0_0	21
3_8_3_0_0	24
3_8_4_0_0	28
3_8_5_0_0	32
3_8_6_0_0	37
3_8_7_0_0	42
3_8_8_0_0	48
3_8_9_0_0	54
3_9_2_0_0	22
3_9_3_0_0	26
3_9_4_0_0	29
3_9_5_0_0	34
3_9_6_0_0	38
3_9_7_0_0	44
3_9_8_0_0	49
3_9_9_0_0	56
13_0_0_0_0	49
4_1_2_0_0	14
4_1_3_0_0	18
4_1_4_0_0	22
4_1_5_0_0	27
4_1_6_0_0	32
4_1_7_0_0	38
4_1_8_0_0	44
4_1_9_0_0	51
4_2_2_0_0	16
4_2_3_0_0	20
4_2_4_0_0	24
4_2_5_0_0	29
4_2_6_0_0	34
4_2_7_0_0	40
4_2_8_0_0	46
4_2_9_0_0	53
4_3_2_0_0	18
4_3_3_0_0	22
4_3_4_0_0	26
4_3_5_0_0	31
4_3_6_0_0	36
4_3_7_0_0	42
4_3_8_0_0	48
4_3_9_0_0	55
4_4_2_0_0	20
4_4_3_0_0	24
4_4_4_0_0	28
4_4_5_0_0	33
4_4_6_0_0	38
4_4_7_0_0	44
4_4_8_0_0	50
4_4_9_0_0	57
4_5_2_0_0	22
4_5_3_0_0	26
4_5_4_0_0	30
4_5_5_0_0	35
4_5_6_0_0	40
4_5_7_0_0	46
4_5_8_0_0	52
4_5_9_0_0	59
4_6_2_0_0	24
4_6_3_0_0	28
4_6_4_0_0	32
4_6_5_0_0	37
4_6_6_0_0	42
4_6_7_0_0	48
4_6_8_0_0	54
4_6_9_0_0	61
4_7_2_0_0	26
4_7_3_0_0	30
4_7_4_0_0	34
4_7_5_0_0	39
4_7_6_0_0	44
4_7_7_0_0	50
4_7_8_0_0	56
4_7_9_0_0	63
4_8_2_0_0	28
4_8_3_0_0	32
4_8_4_0_0	36
4_8_5_0_0	41
4_8_6_0_0	46
4_8_7_0_0	52
4_8_8_0_0	58
4_8_9_0_0	65
4_9_2_0_0	30
4_9_3_0_0	34
4_9_4_0_0	38
4_9_5_0_0	43
4_9_6_0_0	48
4_9_7_0_0	54
4_9_8_0_0	60
4_9_9_0_0	67
14_0_0_0_0	56
5_1_2_0_0	18
5_1_3_0_0	23
5_1_4_0_0	27
5_1_5_0_0	33
5_1_6_0_0	38
5_1_7_0_0	45
5_1_8_0_0	51
5_1_9_0_0	59
5_2_2_0_0	21
5_2_3_0_0	25
5_2_4_0_0	30
5_2_5_0_0	35
5_2_6_0_0	41
5_2_7_0_0	47
5_2_8_0_0	54
5_2_9_0_0	61
5_3_2_0_0	23
5_3_3_0_0	28
5_3_4_0_0	32
5_3_5_0_0	38
5_3_6_0_0	43
5_3_7_0_0	50
5_3_8_0_0	56
5_3_9_0_0	64
5_4_2_0_0	26
5_4_3_0_0	30
5_4_4_0_0	35
5_4_5_0_0	40
5_4_6_0_0	46
5_4_7_0_0	52
5_4_8_0_0	59
5_4_9_0_0	66
5_5_2_0_0	28
5_5_3_0_0	33
5_5_4_0_0	37
5_5_5_0_0	43
5_5_6_0_0	48
5_5_7_0_0	55
5_5_8_0_0	61
5_5_9_0_0	69
5_6_2_0_0	31
5_6_3_0_0	35
5_6_4_0_0	40
5_6_5_0_0	45
5_6_6_0_0	51
5_6_7_0_0	57
5_6_8_0_0	64
5_6_9_0_0	71
5_7_2_0_0	33
5_7_3_0_0	38
5_7_4_0_0	42
5_7_5_0_0	48
5_7_6_0_0	53
5_7_7_0_0	60
5_7_8_0_0	66
5_7_9_0_0	74
5_8_2_0_0	36
5_8_3_0_0	40
5_8_4_0_0	45
5_8_5_0_0	50
5_8_6_0_0	56
5_8_7_0_0	62
5_8_8_0_0	69
5_8_9_0_0	76
5_9_2_0_0	38
5_9_3_0_0	43
5_9_4_0_0	47
